surface_name	site_name	species_name	formation_energy	frequencies	other_parameters	reference	
13Cu	211	H-OH	0.99	[12, 12, 103.6, 329.9, 436.5, 553.5, 595.0, 939.6, 3689.2]	[]	Ang	
13Cu	211	CHO-H	0.66	[12, 12, 116.0, 189.7, 293.7, 447.2, 554.2, 771.4, 844.4, 1280.8, 1459.1, 2769.6]	[]	Ang	
13Cu	211	CH3-H	-1.17	[12, 12, 67.6, 126.9, 367.4, 384.6, 684.4, 766.7, 1113.0, 1369.9, 1405.1, 1605.0, 2952.5, 3054.9, 3089.5]	[]	Ang	
13Cu	211	CH-OH	0.73	[]	[]	Ang	
13Cu	211	CH2-H	-0.85	[12, 210.3, 309.5, 451.4, 466.4, 548.9, 750.3, 892.7, 1313.4, 1449.3, 2843.0, 2946.6]	[]	Ang	
13Cu	211	CO-OH	-0.4	[12, 12, 85.1, 138.7, 233.5, 315.5, 328.1, 470.3, 612.0, 927.2, 1829.1, 3623.0]	[]	Ang	
13Cu	211	CH3-OH	-0.15	[12, 12, 12, 48.2, 56.0, 216.6, 329.8, 365.1, 401.5, 519.9, 608.7, 681.6, 1356.0, 1371.2, 3046.0, 3220.1, 3246.3, 3650.8]	[]	Ang	
13Cu	211	H-CHOH	0.42	[12, 12, 96.0, 210.8, 324.6, 448.3, 524.0, 613.0, 759.9, 1034.1, 1119.0, 1175.3, 1356.6, 2927.4, 3548.7]	[]	Ang	
13Cu	211	CH2-OH	-0.11	[12, 71.3, 109.1, 176.2, 308.0, 422.9, 444.4, 505.4, 687.8, 747.8, 868.0, 1342.6, 2943.6, 3040.2, 3685.1]	[]	Ang	
13Cu	211	#CH-H	-0.38	[12, 363.3, 429.5, 484.3, 694.9, 883.0, 1035.2, 1282.6, 3003.3]	[]	Ang	
13Cu	211	CO2-H	0.74	[12.0, 131.3, 156.9, 185.7, 226.7, 443.2, 578.8, 604.6, 641.3, 1069.5, 1370.5, 1865.9]	[]	Ang	
13Cu	211	H-CO2	-0.3	[12.0, 12.0, 12.0, 65.0, 174.3, 232.8, 373.2, 552.8, 733.0, 1077.8, 1342.9, 2100.9]	[]	Ang	
34Cu	211	#CO2	-0.66	[12, 12, 42.7, 54.4, 99.2, 609.0, 618.6, 1302.6, 2337.2]	[]	Ang	
34Cu	211	COOH	-0.397	[48.7, 91.8, 113.9, 215.8, 282.5, 371.6, 651.3, 683.6, 1074.1, 1240.7, 1451.7, 3471.7]	[]	Ang	
34Cu	211	CO	-1.222	[12, 82.1, 222.5, 254.7, 336.4, 2010.4]	[]	Ang	
34Cu	211	CHO	-0.275	[77.3, 157.4, 196.7, 278.2, 479.9, 684.9, 1285.1, 1468.0, 2734.0]	[]	Ang	
34Cu	211	#CHOH	-0.14	[7.9, 96.9, 218.1, 269.0, 368.6, 444.3, 822.1, 1044.2, 1156.5, 1371.2, 2958.3, 3623.9]	[]	Ang	
34Cu	211	CH2OH	-0.768	[40.4, 83.5, 114.9, 218.7, 281.2, 450.3, 564.7, 802.1, 1079.3, 1144.2, 1234.1, 1405.7, 2930.9, 2997.1, 3680.9]	[]	Ang	
34Cu	211	CH3OH	-2.109	[12, 12, 44.7, 96.3, 119.7, 207.5, 405.8, 945.1, 1044.8, 1120.9, 1317.0, 1415.6, 1444.5, 1453.3, 2961.4, 3036.4, 3087.6, 3671.7]	[]	Ang	
34Cu	211	CH	-0.417	[26.9, 462.3, 492.9, 676.2, 681.7, 2991.4]	[]	Ang	
34Cu	211	CH2	-0.621	[175.2, 227.6, 371.8, 395.6, 478.0, 641.9, 1281.4, 2884.6, 2964.0]	[]	Ang	
34Cu	211	CH3	-2.086	[12, 36.6, 86.4, 447.6, 595.2, 609.3, 1069.6, 1380.0, 1396.2, 2940.1, 3036.3, 3044.4]	[]	Ang	
