0.25,2.220446049250313e-16,1,3429604083977680882957.4020921185588725310834673984217105954181969270826898070603129854047882970945811248574152212268402503833740761285599915565625573229838549231293277971975392251028894715881711643651116876858320561416951739196724956029719714776102372579856033681123336527060513958933553330688422410145302338684743713201097707577467669567727500819671575431767639757521995103573803494907686658233490182116192854438613475146850858965179221296807933799673975790806925693041435272225404310708483163583604890550205299380201952593810138836164002421949011297990146064187023849989444,3429604083977680882957.4020921185588725310834673984217105955709254930564059295397898912697392953328169051318910737737521915544541151343964369582325934824590798574771817055317678547926646101553236428726187265925426854907868973279608994500905849665885830405067990560615865686304988692687243195165389944498289424268671417192770649707949733580114853764564442757526930042131951470601812888545975480483209200482554885679968593152547458180935258842890775952756448338074464583723224273613075647236847371475934457525732675888963846491386097714092448066181632654113725716940206587840095
0.25,2.220446049250313e-16,2,857455833763001958921.22383452093775962517941296374800612991782826989141029565950301122630089142735293924164050679518065132689931057048880648564065938676425663913524045984230273051219500196475810942964369974586094044507074045369727319578946834343012082203203763706077881405099547725123914874550788564398160417251442313803250926831468972384988538833741028467808994189579264915565123502701482257563760633911440552848376298386998821038749216549969556213515227876802643727186625281893556923238172180752524846266501403860254985346732405637884365840577826810702492965048337656298789,857455833763001958921.22383452093775962517941296374800630264784915636649655398840415682820132771201847908875288793721682089821762161559651550506829802465093819230311601118341490959707015264749985015034218165464652250807019598694041008562729651472604180841980190836770394340915316354412211688909750146635903812595662761642481964851397417964439683723577069083888211407739040657033301668260832155354079877411230372754325923362428169019851829779458017691607664595894847746639107682589875334585482081093260020969958715068038837540753505510272985908141862499190090753725849083293742
0.25,2.220446049250313e-16,3,214419358880802533788.64447153806268901729019481720757761319677541802019101312013559548112184650547275910524566072887990661095889436411677470169013617038493832602599210897477586904715178438353752304471960011157463249536931652446727554978962822395355802536671052637784947957593016708292114739268638645237016156189703186519723237795318080008850088511435892680298859250232405779087649471239872052096263582573997553155286038408936128361138901460016215157349360463960897454519466789409457244564950335695889455415780087776845870009697836697646903034189372905176039786871896852421883,214419358880802533788.64447153806268901729019481720757766915962803511872289043366301490369182029746434895773978999195676255862040409453299704686048356300358956371532642276151551070199301926976821495772012555215635089545817574966822628676586291410976804380688143196405039570216932604750537953208326240590692831710847689507165960303690426889143540581772843442320992103041110591395209897966916907344032755395869919827769473861780229531369583198816422242750896867002109285859904641356867653845700649292220669782339634594626076508956679671971827925481023120371504024077688976817437
0.25,2.220446049250313e-16,4,53664578028894344560.740567184400228316270343900101605181909744515256266349176485931220018177065831636862500291753668515887007505407121516718304791170251016355274293263897208989715019996289902148914579792304208392439356922709561916393641028164447654241743902478969695189292148986644031091482391466187635573274478712815828952309172080114484902033275595201459225036636055700586973964516660454405658790810939237284720803932420043304007418378083226208345170186459196240171397956759266086908056812848670367945212723806548396037100967057250664893048609993647667519095319730417794302,53664578028894344560.740567184400228316270343900101605200951751675728108260531884547922373091462237570743629651741172632798276649841791988182259923414135458346377915307460897367400164917129754970589622158694848453627191525822185158889150635378416468738234192381866515587808924187456327407748123499144270785995267598491254292673120151622340412064782608516257521582997898937919251857691947172777052028247987811425784950805693658891320577636196117625686186651245422728086048101433567217681172622053868298296561520792685257517325944673801862059927076909152404527631074231736192698
0.25,2.220446049250313e-16,5,13485983056033587502.61631109819742038002380772682994366681176429322133396605724087402480197097564605512233412639540002684861074733305478346343225202233807311521223859857109226242226171471762903834440079012941432982418457780631645419611193076452966377640435188344311792695982922982592890132767856533260439657485272965036107303035251078393678482921266120085815633423871196434882951666979793935565722783490603336542140582046322811745280044201905640088922805835000276028809856772147507529392863715187235612947501503998146795782868015310111645355596881086334577636898181528279679,13485983056033587502.616311098197420380023807726829943674244510276688158086221330635455837650213116651381442991796120649600703101155416511227984355759891515848851564479857518343202843981256493772298625078671104888332816336124338116882265732197732421357891669069080361484015104928745796686706024906496667067987764262153691539117117543284154116191561708998027405172116174715253761302738528260865351006285665807833124537925503544716786773807055879052402691981728682305347709851602724800935612011201466777424324872356506622455778644601428291458238913916378270401124078561647501628
0.25,2.220446049250313e-16,6,3450301842887369877.1143691791376433805972285613673453620791937110645822611090656128860505665624411382167201879451394677350360155885809457401270308029994727110316313608840051935817700693878358843337322744104531454965913377324731819079615970144135483264941339413796089223926640300663970767451249801736667818296162664999864380539221437150566787588632305971407662218429649907984384426682297178445514956452278338041549847769175029745093164094624893941308006631817681946431161823949504634847968150822076956960493389122569523028641461940091871754150803091284652911676842706402702313,3450301842887369877.114369179137643380597228561367345366024512124952780307155042059797042659403272301405249665120116136792100710455092975605546066786689255074164312434135199388432684974881370475106529202398092476758002082781724903710973352293247595359580915479179184787789191070623016852694512395838738865369239563976343802563513184057204811010395777942759635433387476140482306769730962017004608786492245634264460801569744365300762301029303942289956176548671301717571643164262924138668347731580824882084122533280925794726707893976382616401653625157394924130892045018697670404
0.25,2.220446049250313e-16,7,942980119101106712.40242978401913768536885676997741925966723359026857336555777636823331610537832451540279603503027856355475780680023474432694502462593794040092223680389713969110217523174349077179888107585682904592353449581534587632366683826712254600972725891441748923676216740833057779818408067136208128259608795259484394234892349000994177228465549698365069623421735639005577698222581568026649008282991972943522044138809964517024680841744264646770967534842590371107867918421633014685976127636301664721241884923592942052293901751755315175616951421289137874355525108917490654832,942980119101106712.40242978401913768536885676997741926281489927407336645807214393766361798827493811676729852287352990523705952320656000565214695459094575553054741122049158001431717259587995310887404488309479820296112821670715732305542255374405723589616761149868512690464932901013029028035414225144176349702123864257365645346820218054790168291441173305792377611086419679008393183951354494933074927699812382542360940482830565838941665273055652664707842645944260591960621936273914007147040114654340144638941535610883427094201745052116746591655573552706578685155648281564707640746
0.25,2.220446049250313e-16,8,316175860023364642.32182401089352768634743526657535026904613986493687371807023380577540962215950803643640109759771920848327256605024471338705324526105292854952724210380947902747697364828187511951996323368258109992912728908898597495866779750523281512175400682433380600099246365199067411473728793659206204808206436343277375158719496784306996582695334584737890428038317480004346316177825406105917170487072688937466184248901010651826744898948005189153091708329340794483901640363018536334700271402956224744652406858716705986694985603074749499409132846441574164969367789198696559972,316175860023364642.32182401089352768634743526657535027212558878512578821328640225464756795450945104410316519175183218491136150778863033204433978616166518779279097363441514059290721038306547302101637696478304689395393457561981567273815969199735122418177181638694481601348336561713370723227013276207255792177076430056286818558764799952745134070595481744822563136258448304789084032568211588361555382088829555835974662349221299562137386476931634012291861807392977445698988387131182013713519796104358599313558952870338573647439250415408886264415849923374946629092377034550684694358
0.25,2.220446049250313e-16,9,159474801649300206.56390401332138971263423165163742036939649593576330689672763382568926280067259580085300111550536384730966085688573475504411489136925565901709219063733093802909249480421309471447497627126229710213229985695066065865065600506640578893526068614356946900071521713488171058915177364838400811736021028291158277265623475075316232910962879364927451252195065042261767519295129336024679962302448874487076526682149505295018088907260025786188712755202373081977268182856771931412932294771076956760153670575343488727221303076054992579724600065751034897709053222948283377923,159474801649300206.56390401332138971263423165163742037247538336775258174638507195064183253927236938864697922103017357411166155084172478066768134779001084742534734025856857851384211164083678027329780383118689522004941382931326047402379253570211946925629026116368894583927500853049698371480705642873232081740412864275939316297475958233055813346735677349387437663246889841632251307674131555791279025197005204388455471829148791437845398962788932915961676215026351261510177500682738484598301275531397765687965730133151779940080428403865900572965296204746092536870864535934510747836
0.25,2.220446049250313e-16,10,120299537054556339.43384751701840036888225616144113543354365033334205082332313109169228682087548142228508616281386280274565412399344204703394253197694863951397242622797382072422522328862920315530026073252651051797826751149641646453726019644076511148696224316099021505712197691642693061701211127156335084823391017110927281008033200993368450095297427842097136790288400457492822761081210527826232546332176591457687274100389948573378688234960746518439809418210035205672648435208974550044110680466819868225896683818963647122110546943980779870408638289203433118373154126386891707006,120299537054556339.4338475170184003688822561614411354366225377251235332613993050650042572169083865298067024200637627367045433570111089082004946618192649134923684294495902991918569426435734958652852512310227254431682356465497245583268769010658696062893886681939334262567025820630148003611181851609995288073118523071591336807157592010887786371120388280749947207507490217290550704313872779079025434325068313704850829429579679394518953084805106365705488936580735504198195926474788034907043435740888361070517136944360753287784057846882505114991283315498910083044280731424369769253
