surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
CuCo	211	H-CH2O	1.70	fcc	[]	[]	Ang
CuCo	211	O-CH3	2.517	fcc	[]	[]	Ang
CuCo	211	CH2-CO	3.30	fcc	[]	[]	Ang
CuCo	211	H-CO	2.112	fcc	[]	[]	Ang
CuCo	211	H-HCO	2.564	fcc	[]	[]	Ang
CuCo	211	CH3O-H	1.755	fcc	[]	[]	Ang
CuCo	211	CH3-CO	3.045	fcc	[]	[]	Ang
CuCo	211	C_OH	4.174	fcc	[]	[]	Ang
CuCo	211	CH2CHO	2.505	fcc	[]	[]	Ang
CuCo	211	CHOH	1.979	fcc	[]	[]	Ang
CuCo	211	COH	2.13	fcc	[]	[]	Ang
CuCo	211	CH3CHOH	2.38	fcc	[]	[]	Ang
CuCo	211	HCO-H	2.539	fcc	[]	[]	Ang
CuCo	211	CH3CHO_H	3.144	fcc	[]	[]	Ang
CuCo	211	H-C	2.730	fcc	[]	[]	Ang
CuCo	211	CH2-OH	2.413	fcc	[]	[]	Ang
CuCo	211	H-OH	0.558	fcc	[]	[]	Ang
CuCo	211	CHOH-H	1.948	fcc	[]	[]	Ang
CuCo	211	CH3CH2O-H	2.460	fcc	[]	[]	Ang
CuCo	211	H-CH3CHO	2.310	fcc	[]	[]	Ang
CuCo	211	CH2OH-H	2.539	fcc	[]	[]	Ang
CuCo	211	H-CH	1.920	fcc	[]	[]	Ang
CuCo	211	O-CH2	2.884	fcc	[]	[]	Ang
CuCo	211	CH2CO_H	3.276	fcc	[]	[]	Ang
CuCo	211	H-CH2CHO	3.168	[]	[]	Ang

Ag	211	CH2CHOH	3.12636458961	fcc	[]	[]	This work
Ag	211	CH3CHOH	3.29361100422	fcc	[]	[]	This work
Ag	211	CH3CHO	2.64806980293	fcc	[]	[]	This work
Ag	211	CH2CH2OH	3.35590078343	fcc	[]	[]	This work
Ag	211	CH2CO	3.91061827446	fcc	[]	[]	This work
Ag	211	CH3COH	3.97021992396	fcc	[]	[]	This work
Ag	211	CHCHOH	4.05324256341	fcc	[]	[]	This work
Ag	211	CHCO	4.17354383934	fcc	[]	[]	This work
Ag	211	CH2COH	4.1970664037	fcc	[]	[]	This work
Ag	211	CHCHO	4.49102188188	fcc	[]	[]	This work
Ag	211	CHCH2OH	4.67649407759	fcc	[]	[]	This work
Ag	211	CCO	5.21465872245	fcc	[]	[]	This work
Ag	211	CCHOH	5.3729451662	fcc	[]	[]	This work
Ag	211	CHCOH	5.62690938855	fcc	[]	[]	This work
Ag	211	CCH2OH	5.69156795813	fcc	[]	[]	This work
Ag	211	CCOH	5.89711527281	fcc	[]	[]	This work
Ag	211	CCHO	5.93412882664	fcc	[]	[]	This work
Pd	211	CH3CHOH	2.29116482148	fcc	[]	[]	This work
Pd	211	CH2CHOH	2.47818889732	fcc	[]	[]	This work
Pd	211	CH3CHO	2.53359763049	fcc	[]	[]	This work
Pd	211	CH3COH	2.5815369234	fcc	[]	[]	This work
Pd	211	CH2CH2OH	2.63714542532	fcc	[]	[]	This work
Pd	211	CH2COH	2.87965077451	fcc	[]	[]	This work
Pd	211	CHCH2OH	3.02331017142	fcc	[]	[]	This work
Pd	211	CH2CO	3.05381725792	fcc	[]	[]	This work
Pd	211	CHCHOH	3.19017762419	fcc	[]	[]	This work
Pd	211	CHCO	3.43378905349	fcc	[]	[]	This work
Pd	211	CHCOH	3.45949633131	fcc	[]	[]	This work
Pd	211	CCH2OH	3.51746663655	fcc	[]	[]	This work
Pd	211	CHCHO	3.59911817409	fcc	[]	[]	This work
Pd	211	CCHOH	3.80071117106	fcc	[]	[]	This work
Pd	211	CCHO	4.06932892979	fcc	[]	[]	This work
Pd	211	CCO	4.11623886747	fcc	[]	[]	This work
Pd	211	CCOH	4.34083556628	fcc	[]	[]	This work
Rh	211	CH3CHO	1.61117787572	fcc	[]	[]	This work
Rh	211	CH3COH	1.84253628852	fcc	[]	[]	This work
Rh	211	CH3CHOH	2.26306114505	fcc	[]	[]	This work
Rh	211	CH2COH	2.38957032314	fcc	[]	[]	This work
Rh	211	CH2CHOH	2.43087740783	fcc	[]	[]	This work
Rh	211	CH2CH2OH	2.44371268826	fcc	[]	[]	This work
Rh	211	CHCO	2.68942323214	fcc	[]	[]	This work
Rh	211	CHCHOH	2.71014517665	fcc	[]	[]	This work
Rh	211	CH2CO	2.75247448244	fcc	[]	[]	This work
Rh	211	CHCH2OH	2.77041086039	fcc	[]	[]	This work
Rh	211	CHCHO	2.79080670338	fcc	[]	[]	This work
Rh	211	CHCOH	2.84786960628	fcc	[]	[]	This work
Rh	211	CCH2OH	2.88565038648	fcc	[]	[]	This work
Rh	211	CCHO	3.18669140513	fcc	[]	[]	This work
Rh	211	CCOH	3.20348453483	fcc	[]	[]	This work
Rh	211	CCHOH	3.23937142734	fcc	[]	[]	This work
Rh	211	CCO	3.54830829382	fcc	[]	[]	This work
Pt	211	CH3CHOH	1.43267728592	fcc	[]	[]	This work
Pt	211	CH3COH	1.45979759709	fcc	[]	[]	This work
Pt	211	CH2CHOH	1.58221430317	fcc	[]	[]	This work
Pt	211	CH2COH	1.71705770617	fcc	[]	[]	This work
Pt	211	CH2CO	1.99259202182	fcc	[]	[]	This work
Pt	211	CHCHOH	2.02999373932	fcc	[]	[]	This work
Pt	211	CH3CHO	2.19470708838	fcc	[]	[]	This work
Pt	211	CH2CH2OH	2.26008719639	fcc	[]	[]	This work
Pt	211	CHCH2OH	2.4624083783	fcc	[]	[]	This work
Pt	211	CHCHO	2.70734919263	fcc	[]	[]	This work
Pt	211	CCHOH	2.86057970825	fcc	[]	[]	This work
Pt	211	CHCOH	2.92651426465	fcc	[]	[]	This work
Pt	211	CCH2OH	3.00832718315	fcc	[]	[]	This work
Pt	211	CHCO	3.13003301546	fcc	[]	[]	This work
Pt	211	CCHO	3.97816373881	fcc	[]	[]	This work
Pt	211	CCO	4.01687618779	fcc	[]	[]	This work
Pt	211	CCOH	4.28959646762	fcc	[]	[]	This work
Ag	211	CH3CO	3.539	fcc	[]	[]	This work.
Pd	211	CH3CO	2.357	fcc	[]	[]	This work.
Rh	211	CH3CO	1.515	fcc	[]	[]	This work.
Cu	211	CH3CO	3.209	fcc	[12,22, 37, 94, 166, 210, 368, 519, 869, 933, 1025,1305, 1391, 1410, 1746, 2976, 3062, 3121]	[]	This work.
Pt	211	CH3CO	1.661	fcc	[]	[]	This work.
RhZn	211	C	2.013	fcc	[]	[]	Studt. Unpublished
RhZn	211	O	0.691	fcc	[]	[]	Studt. Unpublished
Pt3Co	211	C	2.384	fcc	[]	[]	This work
Pt3Co	211	O	1.36	fcc	[]	[]	This work
Pt3Co_B	211	C	2.155	fcc	[]	[]	This work
Pt3Co_B	211	O	0.725	fcc	[]	[]	This work
Co3Pt	211	C	2.39	fcc	[]	[]	This work
Co3Pt	211	O	0.681	fcc	[]	[]	This work
Cu3Co	211	C	2.753	fcc	[]	[]	This work
Cu3Co	211	O	0.187	fcc	[]	[]	This work
Co3Cu	211	C	2.332	fcc	[]	[]	This work
Co3Cu	211	O	0.03	fcc	[]	[]	This work
Cu3Fe	211	C	2.024	fcc	[]	[]	Studt. Unpublished
Cu3Fe	211	O	-0.213	fcc	[]	[]	Studt. Unpublished
Cu3Ni	211	C	1.925	fcc	[]	[]	Studt. Unpublished
Cu3Ni	211	O	0.426	fcc	[]	[]	Studt. Unpublished
Re	211	C-O	1.213	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Fe	211	C-O	2.503	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Ru	211	C-O	2.803	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Rh	211	C-O	3.033	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Ir	211	C-O	3.113	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Co	211	C-O	3.193	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Ni	211	C-O	3.433	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Pt	211	C-O	4.113	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Pd	211	C-O	4.633	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Ag	211	C-O	8.073	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
Au	211	C-O	8.183	fcc	[]	[]	"Catal. Lett. 141, 3, 370-373 (2011)"
