surface_name	site_name	species_name	formation_energy	frequencies	reference	ensemble_path
Pt	111	COH-H-ele	1.34539238	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/H-CO-ele.pkl
Pt	111	H	-0.18929162	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/H.pkl
Pt	111	H-CO	-0.17224182	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/H-CO.pkl
Pt	111	H-CO-ele	0.4603488	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/H-CO-ele.pkl
Pt	111	H-H	0.37141676	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/H-H.pkl
Pt	111	H2-ele	0.66070838	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pt/H2-ele.pkl
Pt	111	OH	0.59185732	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pt/OH.pkl
Pt	211	CH	-1.42056706	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/CH.pkl
Pt	211	CH-H	-1.07770458	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/CH-H.pkl
Pt	211	CH2	-1.84761678	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/CH2.pkl
Pt	211	CH2-H	-1.4496336	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/CH2-H.pkl
Pt	211	CH3	-2.1711715	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/CH3.pkl
Pt	211	CH3-H	-1.86456812	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/CH3-H.pkl
Pt	211	CHO	-1.36046992	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/CHO.pkl
Pt	211	CHOH	-1.64567124	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/CHOH.pkl
Pt	211	CO	-1.7677176	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/CO.pkl
Pt	211	CO-H	-0.61333702	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/CO-H.pkl
Pt	211	CO-H-ele	-0.8977176	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/CO-H-ele.pkl
Pt	211	COH	-1.16750842	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/COH.pkl
Pt	211	COH-H-ele	0.41249158	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/H-CO-ele.pkl
Pt	211	H	-0.37936032	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/H.pkl
Pt	211	H-CO	-0.44646772	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/H-CO.pkl
Pt	211	H-CO-ele	-0.1877176	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/H-CO-ele.pkl
Pt	211	H-H	0.15127936	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/H-H.pkl
Pt	211	H2-ele	0.37063968	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pt/H2-ele.pkl
Pt	211	OH	-0.14123148	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pt/OH.pkl
Pd	111	CH	-1.21605336	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/CH.pkl
Pd	111	CH-H	-0.72430038	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/CH-H.pkl
Pd	111	CH2	-1.16507448	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/CH2.pkl
Pd	111	CH2-H	-0.722909	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/CH2-H.pkl
Pd	111	CH3	-1.8026268	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/CH3.pkl
Pd	111	CH3-H	-1.51422162	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/CH3-H.pkl
Pd	111	CHO	-1.01526932	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/CHO.pkl
Pd	111	CHOH	-0.73664794	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/CHOH.pkl
Pd	111	CO	-1.7739722	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/CO.pkl
Pd	111	CO-H	0.23512068	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/CO-H.pkl
Pd	111	COH	-1.12172512	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/COH.pkl
Pd	111	H	-0.34503782	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/H.pkl
Pd	111	H-CO	-0.31210432	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/H-CO.pkl
Pd	111	H-H	0.11992436	[129.1, 218.3, 426.7, 4083.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/H-H.pkl
Pd	111	H-ele	0.33	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/H-ele.pkl
Pd	111	H2-ele	0.51496218	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Pd/H2-ele.pkl
Pd	111	OH	0.25806392	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Pd/OH.pkl
Pd	211	CH	-1.07403266	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/CH.pkl
Pd	211	CH-H	-0.42346878	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/CH-H.pkl
Pd	211	CH2	-1.32502078	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/CH2.pkl
Pd	211	CH2-H	-0.7945947	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/CH2-H.pkl
Pd	211	CH3	-1.8120237	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/CH3.pkl
Pd	211	CH3-H	-1.64684322	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/CH3-H.pkl
Pd	211	CHO	-1.02093722	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/CHO.pkl
Pd	211	CHOH	-1.26609434	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/CHOH.pkl
Pd	211	CO	-1.6694476	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/CO.pkl
Pd	211	CO-H	0.10936668	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/CO-H.pkl
Pd	211	COH	-0.53404462	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/COH.pkl
Pd	211	COH-H-ele	1.02595538	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/H-CO-ele.pkl
Pd	211	H	-0.23854752	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/H.pkl
Pd	211	H-CO	-0.46223232	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/H-CO.pkl
Pd	211	H-CO-ele	-0.1094476	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/H-CO-ele.pkl
Pd	211	H-ele	0.63	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Pd/H-ele.pkl
Pd	211	OH	-0.08794848	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Pd/OH.pkl
Rh	111	CH	-1.50249056	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/CH.pkl
Rh	111	CH-H	-1.21963418	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Rh/CH-H.pkl
Rh	111	CH2	-1.35646118	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/CH2.pkl
Rh	111	CH2-H	-1.2418618	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Rh/CH2-H.pkl
Rh	111	CH3	-1.8254248	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/CH3.pkl
Rh	111	CH3-H	-1.58901542	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Rh/CH3-H.pkl
Rh	111	CHO	-1.14504902	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/CHO.pkl
Rh	111	CHOH	-0.84426864	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/CHOH.pkl
Rh	111	CO	-1.6767034	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/CO.pkl
Rh	111	CO-H	0.07644678	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Rh/CO-H.pkl
Rh	111	COH	-1.23899502	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/COH.pkl
Rh	111	H	-0.25459762	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/H.pkl
Rh	111	H-CO	-0.41396742	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Rh/H-CO.pkl
Rh	111	H-ele	0.28	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/111/Rh/H-ele.pkl
Rh	111	OH	-0.09158408	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/111/Rh/OH.pkl
Rh	211	CH	-1.07410156	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/CH.pkl
Rh	211	CH-H	-1.09482348	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Rh/CH-H.pkl
Rh	211	CH2	-1.69108518	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/CH2.pkl
Rh	211	CH2-H	-1.6021873	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Rh/CH2-H.pkl
Rh	211	CH3	-2.0175598	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/CH3.pkl
Rh	211	CH3-H	-2.29320752	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Rh/CH3-H.pkl
Rh	211	CHO	-1.42386902	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/CHO.pkl
Rh	211	CHOH	-1.45337664	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/CHOH.pkl
Rh	211	CO	-1.8033244	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/CO.pkl
Rh	211	CO-H	0.26638708	[1695.8, 757.8, 325.1, 278.1, 277.1, 113.9, 72.7, 400.2]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Rh/CO-H.pkl
Rh	211	COH	-1.10289802	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/COH.pkl
Rh	211	H	-0.34169662	[459.5, 563.0, 995.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/H.pkl
Rh	211	H-CO	0.17503928	[1739.3, 1200.4, 647.5, 305.1, 213.4, 189.8, 125.6, 80.3]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Rh/H-CO.pkl
Rh	211	H-ele	0.9	[902.6, 1205.4, 1784.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/TS/211/Rh/H-ele.pkl
Rh	211	OH	-0.65836008	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work	/a/suncatfs1/u1/xinyanl/project/CO_reduction/ensemble/ads/211/Rh/OH.pkl
