0.25,-1.2,1,3414283985787002690524.5746545036485766997963067845532384942952729591796016549147661911811523371378273512676685831252039412743285827681998482496555565393261114115620395118004998529346742615913141878844839372200302328954692163619055464630510847012076107016813984966274060369461,3414283985787002690524.5746545036485766997963067845532384944502782286051476394881682011349946586552248927845021856284290591314369445566845447495672995449554221188199091042295111148821843330520899017216081273016950221576663763269477804259632722384392281980666057428736418399299
0.25,-1.2,2,853625819139381908533.30982925948101392120418819833410364186871443733547401054908694952049876587860637440202423789669051405788189396388410698209147022579139371679745824467534034453054639907153529492861975761273317391346626610343132794538262838584829859244022029794043193463037,853625819139381908533.30982925948101392120418819833410381461853303460068032015901474062852538799732163449173752166247270282470648392715510211549167056174761989404743021540592291049933247223002787197718069300990587134673465306327141481613730436670730441495735146375037733044615
0.25,-1.2,3,213461811298780693009.63262136293713566140605259837289665773101133003995148552540511772315353126717082687348239113223622615645280984701290228753502386421937505028241701861300035972882287729268330678043776014625193316311786448347459917279409786304508850657571456196344088324378,213461811298780693009.63262136293713566140605259837289671369705495360400940124697825792064497214003283834443708338045712790904381739420839153565801751460315103617327146802129223247115473428619029093946844422683566203097919536555555557918350866821604868718601024002002908862937
0.25,-1.2,4,53425189522206082731.136322248868186444495136715262451159549008463580399675218057250456488945181082498419988225834894391614444255492517466061570540141439548326333057239492493956098200899957426696790692253276853461420439223240435083666488428382636144574224371528681352252083591,53425189522206082731.13632224886818644449513671526245117859171700986340030899600010391158313088292544055300510508276944112176342389449091078705175072980058023784481364825529693253161691516258846751406579278742121425824731201204032430116280641495601259050218234563526836674227
0.25,-1.2,5,13426135858763497428.103013608771314765385073153625220143268716252439679444276074577865624199822718934129028672460890872687953636715232926561777215520276967782157637793087548338837351084869870156889535950900295155144776487139960264720804063702763466553239909329118575445781576,13426135858763497428.103013608771314765385073153625220150701744527214562503745073269139228107731682406424280357261230513833054806043160997408960806144356891301037993725826770437838960821256297555915057313870913051012765276101182368278821860792874783596071448927028513060292098
0.25,-1.2,6,3435340041314446469.766087883422691987384857319062798441831100020302451948946818418533624595167733253673058368275033570505737292235938484286526991992677756129340605758374067924930412600454606868774286178484773428832452048700975932396773309714194422983887079818995262810263529,3435340041314446469.7660878834226919873848573190627984457766119927901504129196899377143044040806962766278972634944658056162958656362385014502653581874199311929154374248761959628866402472259439788789331027142974830617455901930579617540542156098046074414366026965223484898269299
0.25,-1.2,7,939239669494678322.30638104742320486737615792448436777381732134545738853830416707182533940017090148801523305471433771988997076461124606675252780209946708660444468526631641990163094906765525601393922942268704190086872177055226359320567204895198700831604425551134926567235115513,939239669494678322.30638104742320486737615792448436777696515983284035561718129662594981095863353057209416215216127538177443373924777852758203065731635454407229497555470077664379243217226948071169444614453541340413970914247710773423692942539668092325220540559604921375714464141
0.25,-1.2,8,315240749209780694.80866048866774908423233839277420643606518461118764764339666371189314831706078424666278078847246109724406261295378031080180855706447501517958546156358030136257737104153345837129937232712030352447108957769986926365988220359025036960433528539866680669696904994,315240749209780694.80866048866774908423233839277420643914480447999119908661725707404604806330084195648237351216548506991333011109935336564984453614571097689021747870903192344723753118560862009688302126307057274397310863952471567249786838349283392506828491486481303256175990203
0.25,-1.2,9,159241025684597765.55690236310406446390790190757138180784869143125406151673484206691266390781845404551692505213626683412031016237774511580405401034587741514271057650225876787757647410302121545913391947366097932102047285004041456135148505596568023992460671944315438632155066273,159241025684597765.55690236310406446390790190757138181092774980345046029327498050216467061384897013883210846905708084045033422671240582099545378708484914079622958075541172223434240248215523113864909017708988190452156975922361763420985461786872281452553718205795842058220245617
0.25,-1.2,10,120241094804143285.76727332856065701464325363482672412267273374540939351535948478596257140278879290402141707982242580326648160899997736472519604624181049215310625433468655563574172880401384174262429965523567804220968764157253000139965038291511362787623906880006684954168498369,120241094804143285.76727332856065701464325363482672412575179207919229871876999290340815053028797574829198375969587253672512918822592400574517283028483299992109375879458223808154464953708553814633124847395969136600906402308173274604937712470423529928314074452102670197499545387
0.25,-1.2,11,110491112083788111.01907066518288342587301085936350693475302939353520313339665420965906065573576541331065309838189322443157258262492921640859946784739467575345151369568792262724451993229927282942368542690715978321981964006592034165275203321670559119504604289896002052642914008,110491112083788111.01907066518288342587301085936350693783208772731390216650980888682889009089185199720347499069624727713685803630118254782211566291496723564212037038849673714056533636515205829267684637362747204296035487791370514448658658837309223964292998457011611121981643922
0.25,-1.2,12,108053616403686492.886057226652652961079302083109346962949305109568069142892892626348627714325810622397380911069180253502363551950562694058723333944937588854827434313054070675916537130124743497879395186004445522224085275539233849125204190550891932107432803766967455356873197,108053616403686492.88605722665265296107930208310934696602836344334571991388321798891684219997432911816531630099376574990601555952516011520801567136293082793076522762762324813975141640526571271464302386551920769915322038951347151893635214709162858699385694200107033802683764745
0.25,-1.2,13,107444242483660453.04463397508199361537390554217600856899129438305489867186762944338795278922399196086443701100808636173984704112394214267108304958435050664794729381746499869409537401555886100734171534569700946164676774473884557406297002719929453391514946742605024540085175003,107444242483660453.04463397508199361537390554217600857207035271683228737989299107866446766104312079050650648863782456608130832705047195838939942435155926718956802966242321445182020835513078238243855183800217951112215498802077964483995119749045854937769868936163853801624201343
0.25,-1.2,14,107291899003653922.89053358912425499450438839001429732930903785398103817416985465686367426040909737155587566284683315722718054456896227080226822488974607310664812625900798296363927175998439013838734001706147828794896190934157568760219057440171522343914270599016810096052417862,107291899003653922.89053358912425499450438839001429733238809618775836136657076140151096281153764856666926331752910930302427911839752630454779538113479267687216923133900724030160209216346911933020242898937380882601826995607500963011762698894450418874368709144391099036168318409
0.25,-1.2,15,107253813133652293.2224438461714285679902757543457405435682953820778836164373454513535337836796703208710815229439489763394393639702160742892072687041210668645247969180833266740322691577846023078162381165551138059871324635201600821742693627881763983057945952288879112943065153,107253813133652293.22244384617142856799027575434574054664735371585519042996296358168904061941040179482721063197730720991383558210181690875160768383732836777499492235343116786683999723999869241526592898947830896398125627660786996633292560552198667522923341173881106808210224658
0.25,-1.2,16,107244291666151885.80828529544885364295792585521121189064110263977264626148119142638060794173855076396289649429917643921220129894633826590409926332144224745667761416721578483854537042711192196443348996481789440088397426673639100450690287510769357773740154048386793155350062738,107244291666151885.80828529544885364295792585521121189372016097354994898028891086668058994839190470289840045265585816784834156509991640467836388476082095385074785985981593710014507639026007412512414967077298232219064611478802402396815069436503298799356310347904241376663999567
0.25,-1.2,17,107241911299276783.9449303445708083471771456860826243493103423335855806582823837352537575258245833115813322360313905808330025494479700496451166488008994912771278259281378121614682227610639106749871557886016031839751770636505901819468745910541453763286790087126982821514601539,107241911299276783.944930344570808347177145686082624352389400667362882353410636127214206012208014205057726711067546027693157503706036908361487395292939315936455665718025360261986518547092393694754141019039317606326143552088519924682540910414830969636054097056345133825998261
0.25,-1.2,18,107241316207558008.47847057657834000197563220051644093776605996189752380120910020917595171952650779874833081064487082309042308283805295855198346950166059852971667879954291680067714924849572493458999266099654701724782828892499758169573621096905604769931080984152711714598670418,107241316207558008.47847057657834000197563220051644094084511829567482524041750500501270846391120950045190583885452387290302153652036780066640188487319365361061394566212337775212873204562418509594123609394709234563964147478608759829841064138641351957120844058790181310018690383
0.25,-1.2,19,107241167434628314.61181727050111178166369022120069238936503583575480261056731187319104128327406193293882608441746824144352675820883674589317812054494197330643063525122637020022836633585815488690260763995885837790611355154839509194416992952402058912890403718887565912169358197,107241167434628314.61181727050111178166369022120069239244409416953210398579578016928598821327075726427491624990440365605989274796029424848340635149489344937941556880363187305985402548956805429854643607877435324818705955270614704152013497601605363824525822885490052447421519643
0.25,-1.2,20,107241130241395891.1451532935262774099267249774013887104170470741794884395803398078084113663278313288345462311935217024886271651458577782588878811456679275429505774163661078454628976131118872756391533997000743072512793730930528672569537535548887148576685078454449092148192773,107241130241395891.14515329352627740992672497740138871349610540795678979881383238435621702310642034979850473535380367742015697524708516127111312077858613915301093449799690319078564320582345831445796387490595660741597435938386523233916896249131338615728232948811087253841478507
