-1.0,2.0,0,6945539379605.5175289401847584050632522413401478918543473342012970464330721115928314388220757541187215689125044258030727052285602545037858889621628858232422763261610317515669458376256956338943761454928331816120781214173407454353010905821569433919648776717572090241501899303067669523944390504529136331084116095564777021112932232147067984949687623776572468549476113156674754315525590718207048441076857591373164921510097524967478551048976539631480375512855903380604351271065766206530805654832529337206032787863984566983744928299985709005917099453794679755876197471382996930452472
-1.0,2.0,1,1736384844901.379146629679844754689774807001967601000659990960603541539572772219383213983874459487818730605746617384018287825455440881898261835523939802218747023538202319129641375871700530839086229401384769956341624319087751508397259712420373054166773515803351550966647126916822963039499689601934661265405623056107923674599191106210555455258806874517545703480286654019745924409531756970205229178710364701844705328771261120290835468986085152261464576518101060810665234912718246920851697824517716814057931213519333421949170633979152642776923399967456967368850361884742905860246
-1.0,2.0,2,434096211225.34478665741996118875255982538799137357735068776342634345141184818146204921308961375177717663210604338532780891729977398451084738040951665635124340051778609298806722006234875684800135698990900267241136819404008145788158374667302635678248477107521706270391404517598686126947371898487975866436179134998073505299301879163133111942401655769441644958841740472976363645906977539713027656655347493081176481363815764123620217726189633311678834625848034929108805804678604321532754011142386603311806347826188716404745189419750421016389320002414594416104816820746602338729626
-1.0,2.0,3,108524052806.33619666435499029717659666216595063238363401508350606314164540974312124240559587907244894875483282020202884399982797538855391321371767446445503123804695764025556349693021819777473210574062053612918708947830441561380512710540180282203104079682258486582338786022668445936663158222963754784170088863004459704806023008445242116771393845671961069216207830635382809556752849757018327231737354542367614289287046797180906519316663583850774269268200910294513965513293686150403939037777483109392305331433206325827275001371892229684424889042515504467769867420482347085659535
-1.0,2.0,4,27131013201.58404916608874757428260587136044046690312141267566995752705129575072866308784843084301245636867376747638962536806531364292113990284848378755970402484186601424922864418925299229751485604633802614001615447167322866610917491315400767092774185977249691932051168450347835749442885515561471446773512725236971707737192220116914150814672318216577991176285002899349923583274085367053244018697672082984842139734004212535027840210447804456302150597903068976015585813882146905594195992217983563830591569307705924003740603099545547293681460201486665036643028006342594283176144
-1.0,2.0,5,6782753300.3960122915221868935591081736590629255329932620737235224822286529542648933416307456070696927638254883697298136434374912618568658943084094988985492485871704766800849664648206787280476502497267265177954760397865687066348005912187726001986433149397958613474765546512957804759095333490200683620830459300320109838256458883596827994338470483676556989146458942733273774666539545403891864463252559674730141618851309792754835292304590237110513203776171129079783441518763098465542277711196539426385981034262004318299700091654878926959798593317764198807282690830886840781374167
-1.0,2.0,6,1695688325.0990030728805467233782337492337185401904612244232958489209258480424042830323854489867489844988744156893834907893981202431065266236984678450784546711728467330090924360186202061263033210850572023852686696128549954983777695730617637831756193889512133974470291760540123559689749134848161862789626604024755397998351881830423831779930295145414475847223927009113443716067492134532409312777631955778146973769188086306588338212084526134004931584761538181283040770330031200978500288198462666773946671010740045435655311578292989073753720531869946636933086302179851490184153184
-1.0,2.0,7,423922081.27475076822013668083301514312738244385482821501092467133021156996299723629755997191065114563770460568804449797231410687592203348980211879415378837716701616699212606746073523198217853803373899855356927820657647519787431820453433840942598049834872701913771726359812516647298010043714020958358989955672451659668917047919956555974265930106143929435727868636219531464721452462154068431444029844239511218533208079105202308021816363437074310518569029095599705112241608535870124490953518450017262952392513475328252684541673559705810079001988823078206472974357940237138086055
-1.0,2.0,8,105980520.31868769205503417019671049160079841977091996265877484013097869303737789798373279932919156360362406152578900876038223366119577250542733598980916533452204016859984770731471031243171759072511295857084058411182318292056286284619639447397862973211782784964787642998319397800199206169377783406685399172894164736015150691816685166597409211431277940374570313722877828665527384639066775065541358955731009132153611496580609344352404757489721996827443226440935214275456098365781554397922020182277104773281915818086705826991841864633425315968213755511097637991410829564489952382
-1.0,2.0,9,26495130.079671923013758542537634328719152413749942899574509235124953244182902756883765726679945467516248230660971522717129690173071148184557555893756567759642355578073204945538220003835027042538053772295961815772936300206839790117678668532634737971060051058140108722006735638125406960361105159077641526582542421477165321863989552190155221653520241354170443350101425591065112661403275673819066397991570763399521268222799364331101921947845137049329860377521899364821897711048720060135742191595270634231723067262945725283702068701074977775300236923755981318064933766836186992001
