3.0,3.0,0.000000000013980867312185386567120945195824195486122715901697580479789737638943217077606865601213461359915375406616345812566518817584715159885647003436256649967481520067904323693318969503414221204464243986787610784763940509670045871728366301479306219305047600356920238049379752727534031,0.00000000939668636306427961607149988100394200670276633965620741638290601188839212647409283463720676941344736814059608772564309797128623701654363276884226207318740844360201861166875848553983722321172680131706943613709901125041272741437527623912243371556920710313429719279189541240757,0.99999999058933276962353499736137917380023379781111094444209500313730425047266465644830029976157976922663725645278756646179038321112904782357072022772148127684511003633007706463792254495674855558380895469614295307813704823991722671389635745939826006512574529650878256915872484
|[3.0, 3.0, mpf('0.000000000013980867312185386567120945195824195486122715901697580479789737638943217077606865601213461359915375406616345812566518817584715159885647003436256649967481520067904323693318969503414221204464243986787610784763940509670045871728366301479306219305047600356920238049379752727534030802'), mpf('0.0000000093966863630642796160714998810039420067027663396562074163829060118883921264740928346372067694134473681405960877256430979712862370165436327688422620731874084436020186116687584855398372232117268013170694361370990112504127274143752762391224337155692071031342971927918954124075700029'), mpf('0.99999999058933276962353499736137917380023379781111094444209500313730425047266465644830029976157976922663725645278756646179038321112904782357072022772148127684511003633007706463792254495674855558380895469614295307813704823991722671389635745939826006512574529650878256915872483511')]|
|[3.0, 3.0, mpf('0.000000000013980867312185386567120945195824195486122715901697580479789737638943217077606865601213461359915375406616345812566518817584715159885647003436256649967481520067904323693318969503414221204464243986787610784763940509670045871728366301479306219305047600356920238049379752727534030802'), mpf('0.0000000093966863630642796160714998810039420067027663396562074163829060118883921264740928346372067694134473681405960877256430979712862370165436327688422620731874084436020186116687584855398372232117268013170694361370990112504127274143752762391224337155692071031342971927918954124075700029'), mpf('0.99999999058933276962353499736137917380023379781111094444209500313730425047266465644830029976157976922663725645278756646179038321112904782357072022772148127684511003633007706463792254495674855558380895469614295307813704823991722671389635745939826006512574529650878256915872483511')]|
